Record ID,Team Number,Match Number,Match Type,Drive Station Number,Preloaded?,Robot Left?,Auton Amp Notes Scored,Auton Notes Received,Teleop Speaker Notes Scored,Teleop Amp Notes Missed,Teleop Notes Received From Human Player,Teleop Notes Received From Ground,Endgame Position,Trap,Fouls,Tech Fouls,Yellow Cards,Red Cards,Alliance,Did Team Play Defense?,Time of Creation,Scouter Name,Wins
1,Team 4,21,Semifinal,2,True,False,0,3,8,5,5,3,Parked,True,1,2,0,1,Blue,True,2025-04-02 22:53:48,Scouter 7,1
2,Team 6,45,Quarterfinal,2,True,False,1,2,1,3,5,0,Parked,False,3,2,0,0,Blue,True,2025-04-02 22:53:48,Scouter 5,0
3,Team 4,32,Qualification,1,True,True,1,0,9,4,2,3,Engaged,False,2,2,0,1,Red,True,2025-04-02 22:53:48,Scouter 7,1
4,Team 11,35,Qualification,3,True,True,1,2,3,0,5,5,Docked,True,3,1,0,0,Red,False,2025-04-02 22:53:48,Scouter 5,0
5,Team 12,16,Qualification,1,True,True,5,0,10,2,3,3,Docked,True,3,1,0,1,Blue,True,2025-04-02 22:53:48,Scouter 5,1
6,Team 4,36,Final,2,True,True,4,5,7,1,3,4,Engaged,True,3,2,0,1,Red,False,2025-04-02 22:53:48,Scouter 5,1
7,Team 10,4,Semifinal,1,False,False,2,5,2,0,0,1,Parked,True,0,1,1,1,Red,False,2025-04-02 22:53:48,Scouter 4,0
8,Team 13,30,Qualification,3,True,True,5,4,5,4,0,2,Parked,False,1,0,0,0,Red,True,2025-04-02 22:53:48,Scouter 3,1
9,Team 2,6,Quarterfinal,2,False,False,2,1,4,0,2,0,Docked,False,0,0,0,1,Blue,True,2025-04-02 22:53:48,Scouter 3,0
10,Team 10,27,Semifinal,2,True,False,2,0,6,4,2,5,Engaged,False,1,2,1,1,Blue,False,2025-04-02 22:53:48,Scouter 1,1
11,Team 12,45,Qualification,2,False,False,2,4,9,3,4,2,Engaged,True,1,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 7,1
12,Team 4,46,Semifinal,1,False,False,3,5,9,2,5,0,Parked,False,0,1,0,0,Blue,False,2025-04-02 22:53:48,Scouter 4,1
13,Team 3,19,Qualification,3,True,False,1,0,2,2,4,1,Parked,True,1,2,1,0,Blue,True,2025-04-02 22:53:48,Scouter 3,0
14,Team 10,5,Final,1,True,False,2,0,6,5,3,5,Docked,False,3,0,0,0,Blue,False,2025-04-02 22:53:48,Scouter 10,1
15,Team 3,35,Final,2,False,False,1,0,8,0,5,2,Docked,False,3,0,0,0,Red,True,2025-04-02 22:53:48,Scouter 5,1
16,Team 7,4,Final,3,True,False,3,0,9,1,4,2,Parked,True,2,1,0,0,Blue,False,2025-04-02 22:53:48,Scouter 9,1
17,Team 7,10,Qualification,2,False,True,3,1,4,4,2,3,Parked,False,0,1,0,0,Red,True,2025-04-02 22:53:48,Scouter 9,0
18,Team 3,19,Final,3,True,False,0,4,10,1,0,1,Parked,False,1,0,0,1,Red,True,2025-04-02 22:53:48,Scouter 2,1
19,Team 16,15,Quarterfinal,1,False,True,2,2,0,4,0,5,Engaged,True,3,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 5,0
20,Team 14,12,Quarterfinal,2,False,False,4,2,9,1,3,5,Engaged,False,1,1,1,1,Blue,True,2025-04-02 22:53:48,Scouter 5,1
21,Team 9,9,Qualification,2,False,False,3,1,8,5,1,3,Docked,False,1,2,0,0,Red,True,2025-04-02 22:53:48,Scouter 9,1
22,Team 11,47,Qualification,2,True,True,0,2,0,5,1,5,Parked,False,2,1,0,1,Red,True,2025-04-02 22:53:48,Scouter 6,0
23,Team 15,5,Final,3,True,True,3,4,0,5,1,2,Docked,False,3,2,1,0,Red,False,2025-04-02 22:53:48,Scouter 3,0
24,Team 10,25,Quarterfinal,2,False,False,1,2,7,3,2,5,Docked,False,0,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 2,1
25,Team 12,7,Final,2,True,False,2,3,6,3,0,2,Docked,True,2,0,0,0,Blue,False,2025-04-02 22:53:48,Scouter 7,1
26,Team 4,4,Final,1,True,True,3,2,9,0,2,2,Parked,False,2,1,0,1,Red,True,2025-04-02 22:53:48,Scouter 8,1
27,Team 12,22,Qualification,3,True,True,2,0,9,4,4,4,Docked,False,3,2,1,1,Blue,True,2025-04-02 22:53:48,Scouter 4,1
28,Team 15,31,Qualification,2,False,True,2,3,0,4,1,1,Parked,False,1,1,1,0,Blue,True,2025-04-02 22:53:48,Scouter 2,0
29,Team 3,4,Semifinal,2,True,False,3,0,10,3,1,4,Engaged,False,1,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 8,1
30,Team 9,42,Quarterfinal,1,False,True,4,3,10,2,3,4,Parked,False,3,0,1,1,Red,False,2025-04-02 22:53:48,Scouter 2,1
31,Team 19,13,Semifinal,3,False,True,1,4,9,0,1,4,Engaged,True,0,1,1,1,Blue,False,2025-04-02 22:53:48,Scouter 6,1
32,Team 14,37,Final,2,False,False,2,3,7,0,0,1,Engaged,True,2,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 9,1
33,Team 1,33,Final,2,True,True,4,0,6,4,0,5,Engaged,True,1,2,1,1,Red,False,2025-04-02 22:53:48,Scouter 9,1
34,Team 10,7,Quarterfinal,2,True,True,3,0,8,4,4,4,Parked,False,0,2,1,0,Red,False,2025-04-02 22:53:48,Scouter 7,1
35,Team 10,13,Semifinal,2,False,False,0,0,7,4,2,5,Docked,True,0,0,0,1,Blue,False,2025-04-02 22:53:48,Scouter 1,0
36,Team 1,45,Final,3,False,False,3,5,1,0,1,0,Parked,False,2,0,1,0,Blue,True,2025-04-02 22:53:48,Scouter 9,0
37,Team 3,22,Semifinal,3,False,False,4,2,5,2,1,1,Parked,True,2,2,0,0,Red,False,2025-04-02 22:53:48,Scouter 2,1
38,Team 13,29,Semifinal,3,False,False,2,1,1,5,1,3,Docked,True,1,2,1,1,Red,True,2025-04-02 22:53:48,Scouter 1,0
39,Team 19,38,Final,3,True,False,3,1,3,3,4,1,Parked,True,2,0,1,0,Blue,True,2025-04-02 22:53:48,Scouter 1,0
40,Team 10,17,Semifinal,1,False,False,4,5,1,2,3,1,Engaged,True,1,0,0,0,Red,False,2025-04-02 22:53:48,Scouter 2,0
41,Team 6,47,Semifinal,3,False,True,4,3,6,5,3,1,Parked,False,2,0,0,0,Red,False,2025-04-02 22:53:48,Scouter 4,1
42,Team 13,17,Final,3,True,True,1,3,3,5,5,0,Engaged,True,0,1,1,0,Red,True,2025-04-02 22:53:48,Scouter 1,0
43,Team 14,16,Qualification,3,True,True,4,5,1,0,1,2,Engaged,True,2,0,1,1,Blue,False,2025-04-02 22:53:48,Scouter 8,0
44,Team 12,44,Quarterfinal,2,True,False,1,5,2,1,3,5,Docked,True,0,1,1,1,Red,True,2025-04-02 22:53:48,Scouter 8,0
45,Team 13,13,Semifinal,2,False,True,2,1,10,1,1,5,Engaged,True,1,2,0,1,Red,True,2025-04-02 22:53:48,Scouter 6,1
46,Team 11,42,Semifinal,1,True,False,3,3,3,0,5,3,Parked,True,0,0,1,1,Red,False,2025-04-02 22:53:48,Scouter 6,0
47,Team 6,12,Qualification,2,False,False,1,0,5,5,4,3,Docked,False,3,1,1,1,Blue,True,2025-04-02 22:53:48,Scouter 3,0
48,Team 9,19,Final,3,False,False,2,5,8,2,4,0,Engaged,True,3,2,0,1,Blue,False,2025-04-02 22:53:48,Scouter 8,1
49,Team 15,2,Final,2,True,False,2,1,2,4,2,5,Engaged,False,1,2,1,1,Blue,False,2025-04-02 22:53:48,Scouter 1,0
50,Team 18,48,Quarterfinal,2,True,True,5,1,8,2,4,5,Parked,True,1,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 8,1
51,Team 15,33,Semifinal,1,True,True,2,0,5,2,5,0,Engaged,False,2,0,0,0,Blue,False,2025-04-02 22:53:48,Scouter 10,0
52,Team 5,47,Semifinal,3,False,False,1,0,4,3,4,4,Docked,True,1,1,1,1,Blue,True,2025-04-02 22:53:48,Scouter 8,0
53,Team 2,7,Final,1,True,False,4,5,1,1,3,5,Engaged,False,3,0,0,0,Blue,True,2025-04-02 22:53:48,Scouter 2,0
54,Team 11,11,Semifinal,1,True,True,5,4,4,5,2,0,Parked,False,1,0,0,0,Blue,False,2025-04-02 22:53:48,Scouter 8,1
55,Team 2,28,Quarterfinal,2,False,True,3,1,8,4,3,5,Docked,True,1,0,0,1,Blue,False,2025-04-02 22:53:48,Scouter 1,1
56,Team 4,6,Quarterfinal,3,False,False,0,0,5,2,2,1,Docked,True,3,2,0,0,Blue,True,2025-04-02 22:53:48,Scouter 7,0
57,Team 3,41,Quarterfinal,1,True,True,4,1,8,3,0,2,Parked,True,0,2,0,1,Blue,False,2025-04-02 22:53:48,Scouter 7,1
58,Team 7,26,Qualification,2,False,False,4,4,2,3,0,4,Engaged,False,1,2,0,1,Red,False,2025-04-02 22:53:48,Scouter 7,0
59,Team 4,34,Quarterfinal,2,False,True,0,5,8,5,2,5,Parked,True,1,0,1,0,Blue,False,2025-04-02 22:53:48,Scouter 7,1
60,Team 4,32,Qualification,3,True,True,3,5,0,4,3,3,Docked,True,3,1,0,0,Blue,False,2025-04-02 22:53:48,Scouter 10,0
61,Team 11,49,Qualification,2,True,True,0,1,9,4,3,3,Engaged,False,0,2,1,0,Red,True,2025-04-02 22:53:48,Scouter 2,1
62,Team 17,16,Semifinal,1,False,False,1,2,1,2,3,2,Parked,False,3,0,0,0,Blue,True,2025-04-02 22:53:48,Scouter 1,0
63,Team 4,9,Quarterfinal,1,False,True,3,2,0,2,0,4,Docked,True,0,0,1,0,Blue,False,2025-04-02 22:53:48,Scouter 10,0
64,Team 15,21,Quarterfinal,2,False,False,0,3,3,2,3,1,Parked,False,3,2,1,0,Red,False,2025-04-02 22:53:48,Scouter 5,0
65,Team 15,15,Final,1,False,True,0,4,2,0,5,2,Docked,False,2,1,1,0,Blue,False,2025-04-02 22:53:48,Scouter 1,0
66,Team 3,17,Quarterfinal,2,False,False,5,5,10,2,2,2,Docked,True,1,1,0,0,Red,False,2025-04-02 22:53:48,Scouter 1,1
67,Team 15,29,Qualification,3,True,True,0,3,10,4,1,2,Parked,False,1,1,1,0,Blue,True,2025-04-02 22:53:48,Scouter 10,1
68,Team 16,34,Semifinal,2,True,True,1,4,1,2,3,2,Parked,True,1,1,0,1,Red,False,2025-04-02 22:53:48,Scouter 8,0
69,Team 3,18,Qualification,3,True,True,0,1,9,0,5,0,Engaged,True,3,1,0,0,Red,True,2025-04-02 22:53:48,Scouter 9,1
70,Team 4,14,Qualification,2,False,True,5,2,1,1,3,0,Engaged,False,0,2,1,1,Red,False,2025-04-02 22:53:48,Scouter 5,0
71,Team 12,18,Qualification,3,True,True,2,1,3,5,0,0,Parked,False,0,1,0,0,Blue,False,2025-04-02 22:53:48,Scouter 6,0
72,Team 9,35,Quarterfinal,2,False,False,4,4,2,0,1,5,Engaged,False,2,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 5,0
73,Team 19,36,Quarterfinal,2,True,False,3,1,5,2,3,4,Docked,True,1,2,1,1,Red,False,2025-04-02 22:53:48,Scouter 3,1
74,Team 5,40,Qualification,3,True,False,0,4,2,0,5,1,Docked,False,2,0,0,1,Red,True,2025-04-02 22:53:48,Scouter 6,0
75,Team 4,44,Quarterfinal,1,False,False,0,0,9,3,5,2,Engaged,True,2,0,0,1,Red,True,2025-04-02 22:53:48,Scouter 3,1
76,Team 14,1,Final,1,True,False,3,0,9,3,0,0,Docked,False,3,1,0,1,Blue,False,2025-04-02 22:53:48,Scouter 9,1
77,Team 17,46,Quarterfinal,1,False,True,2,2,4,3,5,1,Docked,False,2,2,0,1,Red,True,2025-04-02 22:53:48,Scouter 10,0
78,Team 4,7,Qualification,2,True,True,2,4,8,1,3,3,Parked,True,3,2,1,1,Blue,True,2025-04-02 22:53:48,Scouter 7,1
79,Team 8,16,Quarterfinal,1,True,True,1,5,8,0,5,2,Docked,False,2,1,1,1,Red,False,2025-04-02 22:53:48,Scouter 1,1
80,Team 9,32,Final,2,False,False,4,2,10,3,5,2,Docked,False,3,2,0,1,Blue,True,2025-04-02 22:53:48,Scouter 10,1
81,Team 13,9,Semifinal,1,False,True,4,2,1,2,5,5,Docked,False,0,2,0,1,Blue,True,2025-04-02 22:53:48,Scouter 5,0
82,Team 3,34,Qualification,1,True,False,4,3,0,1,3,4,Parked,True,2,2,0,0,Blue,True,2025-04-02 22:53:48,Scouter 9,0
83,Team 9,44,Final,2,True,False,5,4,1,0,5,3,Docked,True,2,0,1,0,Blue,True,2025-04-02 22:53:48,Scouter 2,0
84,Team 12,37,Final,1,False,True,5,2,1,1,1,0,Engaged,True,3,1,0,0,Red,False,2025-04-02 22:53:48,Scouter 7,0
85,Team 8,17,Quarterfinal,1,True,False,1,1,9,2,2,0,Parked,True,2,2,1,0,Red,False,2025-04-02 22:53:48,Scouter 5,1
86,Team 5,50,Semifinal,3,True,False,0,2,8,4,3,2,Engaged,False,0,0,1,1,Blue,False,2025-04-02 22:53:48,Scouter 2,1
87,Team 18,38,Quarterfinal,3,True,True,2,2,5,4,2,1,Parked,False,1,2,0,1,Red,False,2025-04-02 22:53:48,Scouter 7,0
88,Team 1,41,Quarterfinal,2,True,True,0,4,2,3,2,0,Docked,True,1,0,1,0,Red,False,2025-04-02 22:53:48,Scouter 3,0
89,Team 1,13,Quarterfinal,2,True,True,0,2,7,0,3,0,Parked,True,1,1,0,1,Blue,False,2025-04-02 22:53:48,Scouter 3,1
90,Team 11,43,Qualification,2,True,False,0,3,0,0,4,1,Docked,True,3,2,1,1,Blue,False,2025-04-02 22:53:48,Scouter 9,0
91,Team 11,20,Qualification,3,True,False,3,0,0,2,2,3,Engaged,True,0,0,1,1,Red,True,2025-04-02 22:53:48,Scouter 7,0
92,Team 13,22,Final,3,False,True,5,5,4,3,4,0,Engaged,False,3,2,1,1,Blue,False,2025-04-02 22:53:48,Scouter 4,1
93,Team 14,47,Final,2,False,True,5,3,6,3,5,4,Engaged,True,0,1,1,1,Blue,True,2025-04-02 22:53:48,Scouter 6,1
94,Team 12,49,Quarterfinal,2,True,True,2,2,3,1,0,2,Docked,True,2,2,1,0,Red,True,2025-04-02 22:53:48,Scouter 1,0
95,Team 15,18,Final,1,True,False,4,1,2,4,4,2,Parked,True,2,0,0,0,Blue,False,2025-04-02 22:53:48,Scouter 3,0
96,Team 19,15,Semifinal,1,True,False,5,3,9,0,3,3,Docked,False,1,0,0,0,Red,True,2025-04-02 22:53:48,Scouter 8,1
97,Team 4,49,Quarterfinal,3,False,False,3,5,1,1,3,3,Parked,False,0,0,0,0,Blue,False,2025-04-02 22:53:48,Scouter 9,0
98,Team 9,23,Qualification,1,True,True,2,5,8,2,5,1,Docked,False,0,2,1,1,Blue,False,2025-04-02 22:53:48,Scouter 4,1
99,Team 6,29,Semifinal,2,True,True,3,3,7,1,1,4,Engaged,False,0,2,1,1,Red,False,2025-04-02 22:53:48,Scouter 3,1
100,Team 15,13,Final,1,True,True,0,3,3,3,5,5,Docked,False,2,1,1,0,Red,False,2025-04-02 22:53:48,Scouter 3,0
